,users,catchingUpRatio,order,freq,ordinary-late,features,prediction
250,vedrana,0.25,0.3333333333333333,0.5,ordinary,"[0.25,0.3333333333333333,0.5]",0
251,vibord,0.23076923076923078,0.9166666666666666,0.15384615384615385,ordinary,"[0.23076923076923078,0.9166666666666666,0.15384615384615385]",0
252,vid,0.36363636363636365,0.9,0.2727272727272727,ordinary,"[0.36363636363636365,0.9,0.2727272727272727]",1
253,Vido,0.5,0.6666666666666666,0.5,ordinary,"[0.5,0.6666666666666666,0.5]",1
254,Vido Repan��ek,0.0,1.0,0.75,ordinary,"[0.0,1.0,0.75]",2
255,Viktor Vic,0.09090909090909091,0.8,0.6363636363636364,ordinary,"[0.09090909090909091,0.8,0.6363636363636364]",2
256,vini,0.0,0.7777777777777778,0.1,ordinary,"[0.0,0.7777777777777778,0.1]",0
257,Vlado,0.0,0.9,0.8181818181818182,ordinary,"[0.0,0.9,0.8181818181818182]",2
258,Vlajko,0.0,1.0,0.15384615384615385,ordinary,"[0.0,1.0,0.15384615384615385]",0
259,Vlasta Svetina,0.0,0.0,0.0,ordinary,"(3,[],[])",0
260,wavemaker,0.4166666666666667,1.0,0.4166666666666667,ordinary,"[0.4166666666666667,1.0,0.4166666666666667]",1
261,x,0.0,1.0,0.0,ordinary,"[0.0,1.0,0.0]",0
262,��anetic,0.0,1.0,0.07692307692307693,ordinary,"[0.0,1.0,0.07692307692307693]",0
263,Zdenko,0.4,0.5,0.2,ordinary,"[0.4,0.5,0.2]",1
264,Zdenko ��krlj,0.0,0.5,0.38461538461538464,ordinary,"[0.0,0.5,0.38461538461538464]",0
265,Zdravko,0.15384615384615385,1.0,0.3076923076923077,ordinary,"[0.15384615384615385,1.0,0.3076923076923077]",0
266,��ivko Joncic,0.0,1.0,0.07692307692307693,ordinary,"[0.0,1.0,0.07692307692307693]",0
267,zvjezdana,0.4,1.0,0.4,ordinary,"[0.4,1.0,0.4]",1
268,Zvonimir Matic,0.75,0.0,0.25,ordinary,"[0.75,0.0,0.25]",1
