,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
278,Tone,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
279,Toni Petkovic,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[5.31127502868483e-08,7.346452529970453e-10,3.816421923525658e-08,0.9999999079883852]",3
280,toni88,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]","[3.227687506384855e-11,1.461677952364842e-09,5.6088828963397505e-08,0.9999999424172162]",3
281,Tpk,0.5384615384615384,0.013888888888888895,0.8333333333333334,"[0.5384615384615384,0.013888888888888895,0.8333333333333334]","[0.9875999033501346,0.0022692316768265957,0.010130864973038757,2.576138668237277e-17]",0
282,Trojan,0.6923076923076923,0.0,1.0,"[0.6923076923076923,0.0,1.0]","[3.4771950933567404e-10,6.048141544018619e-10,2.967447239565364e-10,0.9999999987507215]",3
283,Urle,1.0,0.2777777777777777,1.0,"[1.0,0.2777777777777777,1.0]","[7.761060868258311e-20,3.323981830308662e-09,4.92674114352319e-08,0.9999999474086066]",3
284,Urosv,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
285,Valentin,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]","[3.2468453243626796e-15,0.9895308329224309,0.010469167077562538,3.2468453243626796e-15]",1
286,Vanda,0.38461538461538464,0.125,0.75,"[0.38461538461538464,0.125,0.75]","[0.4134272055672346,0.014005533353692857,0.5725672610790723,1.588481565082842e-16]",2
287,vanja123,0.38461538461538464,0.05555555555555556,0.5,"[0.38461538461538464,0.05555555555555556,0.5]","[6.4593863884514445e-06,0.025875883114269516,0.9741176574993418,2.2029073242926478e-16]",2
288,varga,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]","[5.545720726992431e-09,1.0060536995154998e-09,3.338688183185152e-08,0.9999999600613438]",3
289,Vedran,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]","[1.733911585462792e-08,5.335340531946647e-10,1.4779200524561774e-09,0.9999999806494301]",3
290,Vedran Nikolic,0.9230769230769232,0.9166666666666666,1.0,"[0.9230769230769232,0.9166666666666666,1.0]","[2.2241434587280453e-20,2.887451803725555e-07,2.2241559180672922e-20,0.9999997112548197]",3
291,Vedran_499,0.5384615384615384,0.033333333333333326,0.5,"[0.5384615384615384,0.033333333333333326,0.5]","[2.5005811183699974e-08,0.021077576303996506,0.9789223986901922,1.4896855779105641e-16]",2
292,vedrana,0.3076923076923077,0.027777777777777773,0.3333333333333333,"[0.3076923076923077,0.027777777777777773,0.3333333333333333]","[3.477899251651911e-15,0.06548165446596346,0.9345183455340321,8.497918926254696e-16]",2
293,vibord,1.0,0.07142857142857144,0.9166666666666666,"[1.0,0.07142857142857144,0.9166666666666666]","[0.918402360318648,0.0006739517735755512,0.08092368790777636,2.1916885850805697e-17]",0
294,vid,0.8461538461538461,0.06944444444444442,0.9,"[0.8461538461538461,0.06944444444444442,0.9]","[0.9526008893617532,0.0010812028256121234,0.04631790781263466,1.2590948427370187e-17]",0
295,Vido,0.3076923076923077,0.08333333333333333,0.6666666666666666,"[0.3076923076923077,0.08333333333333333,0.6666666666666666]","[0.8179682937478219,0.004870405348601164,0.17716130090357676,8.473084091451335e-17]",0
296,Vido Repan��ek,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
297,Viktor Vic,0.8461538461538461,0.00833333333333334,0.8,"[0.8461538461538461,0.00833333333333334,0.8]","[0.8784674893638952,0.002056004603493101,0.11947650603261173,4.4294529075039646e-17]",0
298,vini,0.7692307692307693,0.08333333333333333,0.7777777777777778,"[0.7692307692307693,0.08333333333333333,0.7777777777777778]","[0.52449953041758,0.005405310588460339,0.4700951589939596,3.813829202987404e-17]",0
299,Vlado,0.8461538461538461,0.0,0.9,"[0.8461538461538461,0.0,0.9]","[0.9872779092196113,0.0008885642744006757,0.011833526505987861,2.1044193391357084e-17]",0
300,Vlajko,1.0,0.1875,1.0,"[1.0,0.1875,1.0]","[3.885902453195069e-12,1.5694225415365565e-09,8.37158142426534e-08,0.9999999147108773]",3
301,Vlasta Svetina,0.9230769230769232,0.9166666666666666,0.0,"[0.9230769230769232,0.9166666666666666,0.0]","[9.935600577776678e-14,0.9999999999997019,9.935600577776678e-14,9.935600577776678e-14]",1
302,wavemaker,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]","[4.2330159216968505e-08,7.831221698531917e-10,1.8879957704491553e-08,0.9999999380067608]",3
303,x,0.7692307692307693,0.3333333333333333,1.0,"[0.7692307692307693,0.3333333333333333,1.0]","[1.2384662574564087e-23,3.6570877477379753e-09,1.3641396970298247e-08,0.9999999827015152]",3
304,��anetic,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]","[5.366279786885009e-23,1.4530004293829175e-08,3.2950918291437567e-10,0.9999999851404866]",3
305,Zdenko,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]","[1.353053667407134e-07,0.025893767839849115,0.974106096854784,1.6623347159259594e-16]",2
306,Zdenko ��krlj,1.0,0.07142857142857144,0.5,"[1.0,0.07142857142857144,0.5]","[3.613482492933486e-16,0.004347004050359421,0.9956529959496399,3.6087763520427094e-16]",2
307,Zdravko,1.0,0.052083333333333336,1.0,"[1.0,0.052083333333333336,1.0]","[2.861280874210607e-07,5.010057180093203e-10,1.573280443557753e-08,0.9999996976381024]",3
308,��ivko Joncic,1.0,0.4583333333333333,1.0,"[1.0,0.4583333333333333,1.0]","[5.366279786885009e-23,1.4530004293829175e-08,3.2950918291437567e-10,0.9999999851404866]",3
309,��S,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
310,zvjezdana,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]","[3.9265340694145783e-14,4.0846490613705476e-10,1.4088908497989256e-10,0.9999999994506068]",3
311,Zvonimir Matic,0.3076923076923077,0.25,0.0,"[0.3076923076923077,0.25,0.0]","[9.60660462038867e-15,0.9999521110631732,4.788893680761237e-05,9.60660462038867e-15]",1
