,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,featuresForScaler,features,prediction
268,Zvonimir Matic,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
269,003136ec-fd3a-908e-de7e-45301e3b,Ordinary - Unregistered,0.2,0.8,0.0,5.0,Catch-upper,2,"[0.2,0.8,0.0]","[-0.2614350845901021,1.1351437004049876,-0.8729859492405728]",0
270,0064c3fd-7e6e-425c-f754-34b889c8,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,0.0,1.0,0.0,11.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,0.0,1.0,0.0,7.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,0.0,0.75,0.25,4.0,Catch-upper,2,"[0.0,0.75,0.25]","[-0.8838187235201369,0.9953784020653764,-0.19536668054480422]",0
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,0.2,0.0,0.8,5.0,Independant,1,"[0.2,0.0,0.8]","[-0.2614350845901021,-1.1011010730287871,1.2953957105858869]",0
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,0.75,0.0,0.25,4.0,Follower,0,"[0.75,0.0,0.25]","[1.4501199224674934,-1.1011010730287871,-0.19536668054480422]",0
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,0.8333333333333334,0.0,0.16666666666666666,6.0,Follower,0,"[0.8333333333333334,0.0,0.16666666666666666]","[1.7094464386883415,-1.1011010730287871,-0.4212397701100605]",0
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,0.8,0.0,0.2,5.0,Follower,0,"[0.8,0.0,0.2]","[1.6057158322000025,-1.1011010730287871,-0.3308905342839579]",0
299,1e81aa64-c3c9-ee4f-ce3c-c4248be0,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
300,1f7f3fd7-7087-1461-cf43-9add2172,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
301,1f96865d-62d4-b049-1788-cfccf324,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
302,20e2fc85-7d0f-8a2c-b651-4b811a97,Ordinary - Unregistered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,"[0.16666666666666666,0.3333333333333333,0.5]","[-0.36516569107844127,-0.16933241743138117,0.4822525881509644]",0
303,23e6f6c8-2cd0-ac1c-e8a1-f2338caa,Ordinary - Unregistered,0.0,1.0,0.0,12.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
304,258d2e1f-e3e8-2612-8285-895fb96d,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
305,269144fa-ef0e-c81e-52ff-df9a348a,Ordinary - Unregistered,0.15384615384615385,0.7692307692307693,0.07692307692307693,13.0,Catch-upper,2,"[0.15384615384615385,0.7692307692307693,0.07692307692307693]","[-0.40506207818934087,1.04913428604215,-0.6644877127187979]",0
306,270174bf-baf8-aab4-48e3-139fcf47,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
307,27080783-250a-3521-f816-6e7b29cf,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
308,2c1d08f2-a1ba-6915-db46-1a7721b9,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
309,2ee1d86b-74ed-47f3-5733-61cc4821,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
310,2f7f0e40-1234-75db-2bcf-bdfbdfbc,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
311,31a88be4-13ad-06c2-119c-3551a490,Ordinary - Unregistered,0.0,0.3,0.7,10.0,Independant,1,"[0.0,0.3,0.7]","[-0.8838187235201369,-0.26250928299112175,1.0243480031075791]",0
312,3244a4c0-3f85-3017-5694-2f5647cb,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,"[0.8571428571428571,0.0,0.14285714285714285]","[1.7835397290371549,-1.1011010730287871,-0.4857749385572765]",0
313,3447bacb-f54d-55c2-592f-3a3ff765,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
314,34a3d1d8-74eb-8a4e-0506-b9ca1551,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
315,35813a40-7aa6-5336-237b-c93f1759,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
316,35ce5334-aefb-9a61-d1c3-7f01a776,Ordinary - Unregistered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
317,35daa597-4591-5a82-57a9-1fba2635,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
318,367365a7-8d2a-3b00-f3e3-f877be3c,Ordinary - Unregistered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,"[0.14285714285714285,0.8571428571428571,0.0]","[-0.43925898142725495,1.2948754699359712,-0.8729859492405728]",0
319,3681eecc-7864-c1c1-0024-4d4234be,Ordinary - Unregistered,0.0,1.0,0.0,10.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
320,36a67ef1-5f22-7846-3f95-faec67c9,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
321,37ada581-75c2-560e-2eb3-3db3a231,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
322,37d73652-37e1-cc5f-6c84-3b9a528c,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
323,380773a6-f975-22c8-187e-e40fe702,Ordinary - Unregistered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
324,3be7d5a2-f78e-3472-e5ac-fa27ed08,Ordinary - Unregistered,0.0,0.0,1.0,6.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
325,3c370e25-1bd5-c34b-ec40-31117752,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
326,3d524e1d-934c-6d53-022b-983c91c3,Ordinary - Unregistered,0.2,0.4,0.4,5.0,Mixed - No predominent behavior,3,"[0.2,0.4,0.4]","[-0.2614350845901021,0.01702131368810015,0.211204880672657]",0
327,3d7d0f75-dda5-644d-e527-018ff340,Ordinary - Unregistered,0.0,0.18181818181818182,0.8181818181818182,11.0,Independant,1,"[0.0,0.18181818181818182,0.8181818181818182]","[-0.8838187235201369,-0.5928636245211112,1.3446771119455792]",0
328,3dc06a27-afe4-b105-1f3c-997851c7,Ordinary - Unregistered,0.09090909090909091,0.8181818181818182,0.09090909090909091,11.0,Catch-upper,2,"[0.09090909090909091,0.8181818181818182,0.09090909090909091]","[-0.6009170694610302,1.1859674452557551,-0.6265789424421115]",0
329,3e4346e0-6285-8776-f373-101eac22,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
330,3e713aeb-dcb2-d6a8-962f-635df3e8,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
331,3fc2e2fe-697a-3255-1a17-4204819d,Ordinary - Unregistered,0.25,0.75,0.0,8.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
332,404bc704-6703-c3c0-815e-55c756c5,Ordinary - Unregistered,0.875,0.0,0.125,8.0,Follower,0,"[0.875,0.0,0.125]","[1.8391096967987652,-1.1011010730287871,-0.5341763148926886]",0
333,4196e8ee-e405-a1e1-4a7f-7d9149a5,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
334,42779e7e-90bc-7eac-5aa8-a9874f90,Ordinary - Unregistered,0.2727272727272727,0.36363636363636365,0.36363636363636365,11.0,Mixed - No predominent behavior,3,"[0.2727272727272727,0.36363636363636365,0.36363636363636365]","[-0.03511376134281681,-0.0846261760134351,0.11264207795327244]",0
335,440d90ef-c7d7-0530-608e-8c0fc440,Ordinary - Unregistered,0.42857142857142855,0.5714285714285714,0.0,7.0,Catch-upper,2,"[0.42857142857142855,0.5714285714285714,0.0]","[0.449860502758509,0.4962166222810517,-0.8729859492405728]",0
336,459f5319-edaf-cd53-126d-fdfb12a5,Ordinary - Unregistered,1.0,0.0,0.0,4.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
337,45d78fe4-7d30-3b18-371e-57bb06c7,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
338,4641102c-f3d3-3878-6d00-1c49a28c,Ordinary - Unregistered,0.18181818181818182,0.18181818181818182,0.6363636363636364,11.0,Independant,1,"[0.18181818181818182,0.18181818181818182,0.6363636363636364]","[-0.31801541540192346,-0.5928636245211112,0.8518630983486564]",0
339,4a97a9b2-74fe-c9f3-625f-0176bddf,Ordinary - Unregistered,0.3333333333333333,0.0,0.6666666666666666,6.0,Independant,1,"[0.3333333333333333,0.0,0.6666666666666666]","[0.15348734136325434,-1.1011010730287871,0.9339987672814767]",0
340,4b21d918-4ac0-0787-3094-37c9432c,Ordinary - Unregistered,0.09090909090909091,0.9090909090909091,0.0,11.0,Catch-upper,2,"[0.09090909090909091,0.9090909090909091,0.0]","[-0.6009170694610302,1.440086169509593,-0.8729859492405728]",0
341,4bd540f6-e34d-4592-7680-b2735389,Ordinary - Unregistered,1.0,0.0,0.0,6.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
342,4c4ac589-35f5-76e3-d0a3-fedab6c6,Ordinary - Unregistered,0.25,0.5,0.25,8.0,Catch-upper,2,"[0.25,0.5,0.25]","[-0.10583917485759342,0.2965519103673219,-0.19536668054480422]",0
343,4cc576c8-f218-94be-fef3-4b6fd86e,Ordinary - Unregistered,0.23076923076923078,0.38461538461538464,0.38461538461538464,13.0,Mixed - No predominent behavior,3,"[0.23076923076923078,0.38461538461538464,0.38461538461538464]","[-0.16568375552394288,-0.025983393493318595,0.169505233368302]",0
344,4d0232bc-202c-ee3a-e58c-e543848c,Ordinary - Unregistered,0.7142857142857143,0.0,0.2857142857142857,7.0,Follower,0,"[0.7142857142857143,0.0,0.2857142857142857]","[1.3389799869442731,-1.1011010730287871,-0.09856392787398018]",0
345,4debb215-7398-77ba-2243-94adbd31,Ordinary - Unregistered,0.1111111111111111,0.0,0.8888888888888888,9.0,Independant,1,"[0.1111111111111111,0.0,0.8888888888888888]","[-0.5380500352256732,-1.1011010730287871,1.5363270061221597]",0
346,4f3771bf-0850-3813-5de9-d0592e66,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
347,502b50b6-08fa-b922-9bb6-dbd4d848,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
348,53cb26b0-7222-8eb4-ef0d-29e7a801,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
349,5409088d-b542-9cac-7fac-9ab00271,Ordinary - Unregistered,0.0,1.0,0.0,12.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
350,5414140f-2888-40b9-e1e2-7984f327,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
351,54e1c86d-b289-f693-e3a3-5d393778,Ordinary - Unregistered,0.6666666666666666,0.3333333333333333,0.0,6.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
352,554558f4-55fd-07df-ddb3-309239ad,Ordinary - Unregistered,0.5,0.0,0.5,4.0,Follower,0,"[0.5,0.0,0.5]","[0.6721403738049501,-1.1011010730287871,0.4822525881509644]",0
353,56a4a9a0-7ab4-0a76-0621-b118321b,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
354,57b97824-05f2-21af-72f1-95f7d697,Ordinary - Unregistered,0.0,0.625,0.375,8.0,Catch-upper,2,"[0.0,0.625,0.375]","[-0.8838187235201369,0.6459651562163492,0.1434429538030801]",0
355,5bfa22fd-175f-02d2-c446-36369a81,Ordinary - Unregistered,0.09090909090909091,0.0,0.9090909090909091,11.0,Independant,1,"[0.09090909090909091,0.0,0.9090909090909091]","[-0.6009170694610302,-1.1011010730287871,1.5910841187440403]",0
356,5d557ed3-ce5e-24e4-a66e-aa966d6c,Ordinary - Unregistered,0.25,0.5,0.25,4.0,Catch-upper,2,"[0.25,0.5,0.25]","[-0.10583917485759342,0.2965519103673219,-0.19536668054480422]",0
357,5e97ad83-2b2c-529e-f831-deac0066,Ordinary - Unregistered,0.0,0.8,0.2,5.0,Catch-upper,2,"[0.0,0.8,0.2]","[-0.8838187235201369,1.1351437004049876,-0.3308905342839579]",0
358,5fad3306-616d-9b57-3411-75efa34d,Ordinary - Unregistered,0.16666666666666666,0.5,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.16666666666666666,0.5,0.3333333333333333]","[-0.36516569107844127,0.2965519103673219,0.030506409020451927]",0
359,600fadb1-9f64-3bf4-b14c-378c45ae,Ordinary - Unregistered,0.45454545454545453,0.0,0.5454545454545454,11.0,Independant,1,"[0.45454545454545453,0.0,0.5454545454545454]","[0.5306895467753967,-1.1011010730287871,0.605456091550195]",0
360,6408c27b-ab13-d145-5b44-24f30202,Ordinary - Unregistered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
361,6613f3e0-2e08-24f1-52ba-bfab8807,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
362,6809fd15-56b5-3424-e33d-88eb107c,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
363,6a9b69a1-5f2e-6aea-63d9-0e9d77c1,Ordinary - Unregistered,0.7142857142857143,0.2857142857142857,0.0,7.0,Follower,0,"[0.7142857142857143,0.2857142857142857,0.0]","[1.3389799869442731,-0.3024422253738678,-0.8729859492405728]",0
364,6c86b1d0-fd95-c414-78d2-9495251b,Ordinary - Unregistered,0.6,0.4,0.0,5.0,Follower,0,"[0.6,0.4,0.0]","[0.9833321932699673,0.01702131368810015,-0.8729859492405728]",0
365,6e25573c-8b7b-a2e7-a782-480ddb63,Ordinary - Unregistered,0.0,0.5,0.5,4.0,Catch-upper,2,"[0.0,0.5,0.5]","[-0.8838187235201369,0.2965519103673219,0.4822525881509644]",0
366,6f168bc8-c816-a359-ba88-da8c663d,Ordinary - Unregistered,0.0,0.875,0.125,8.0,Catch-upper,2,"[0.0,0.875,0.125]","[-0.8838187235201369,1.3447916479144038,-0.5341763148926886]",0
367,6f359ebe-9f0a-2bae-a27a-c4ec1712,Ordinary - Unregistered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
368,6f99bc0c-a871-5dd6-80cb-22296ada,Ordinary - Unregistered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
369,70eacff4-a340-e4fd-746a-807b58c3,Ordinary - Unregistered,0.08333333333333333,0.5,0.4166666666666667,12.0,Catch-upper,2,"[0.08333333333333333,0.5,0.4166666666666667]","[-0.6244922072992891,0.2965519103673219,0.25637949858570824]",0
370,74105285-3bd1-71b2-bb2b-df56e6f7,Ordinary - Unregistered,0.0,0.75,0.25,4.0,Catch-upper,2,"[0.0,0.75,0.25]","[-0.8838187235201369,0.9953784020653764,-0.19536668054480422]",0
371,74df8aff-e884-bc0d-7710-a23afc0d,Ordinary - Unregistered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
372,7550652e-a184-e590-1205-03d91e86,Ordinary - Unregistered,1.0,0.0,0.0,5.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
373,755f4b52-e48e-eda7-42c0-2dabd3cf,Ordinary - Unregistered,0.16666666666666666,0.3333333333333333,0.5,6.0,Mixed - No predominent behavior,3,"[0.16666666666666666,0.3333333333333333,0.5]","[-0.36516569107844127,-0.16933241743138117,0.4822525881509644]",0
374,75bece44-7ed0-9de1-f411-854abe3b,Ordinary - Unregistered,0.5,0.0,0.5,4.0,Follower,0,"[0.5,0.0,0.5]","[0.6721403738049501,-1.1011010730287871,0.4822525881509644]",0
375,77d5ac07-0cfc-ac01-e741-58dae777,Ordinary - Unregistered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
376,78928b9d-af19-1353-e439-c5b1d36f,Ordinary - Unregistered,0.0,1.0,0.0,5.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
377,78f08216-f3b9-62f6-7676-e8f9b3e2,Ordinary - Unregistered,0.4,0.6,0.0,5.0,Catch-upper,2,"[0.4,0.6,0.0]","[0.3609485543399327,0.5760825070465436,-0.8729859492405728]",0
378,7b7820c3-5040-cdf4-4448-bacd9426,Ordinary - Unregistered,0.0,1.0,0.0,9.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
379,7c6856f2-bacb-4be2-61d0-ba4bf284,Ordinary - Unregistered,0.6,0.4,0.0,5.0,Follower,0,"[0.6,0.4,0.0]","[0.9833321932699673,0.01702131368810015,-0.8729859492405728]",0
380,7d0acedd-f795-6e39-b508-3eea42ac,Ordinary - Unregistered,0.8571428571428571,0.0,0.14285714285714285,7.0,Follower,0,"[0.8571428571428571,0.0,0.14285714285714285]","[1.7835397290371549,-1.1011010730287871,-0.4857749385572765]",0
381,80e6c3aa-f56c-4679-d623-79d6fd2d,Ordinary - Unregistered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
382,85d4f155-5a13-7eb1-4d96-5c0b6e30,Ordinary - Unregistered,0.0,0.8461538461538461,0.15384615384615385,13.0,Catch-upper,2,"[0.0,0.8461538461538461,0.15384615384615385]","[-0.8838187235201369,1.2641578219492435,-0.4559894761970229]",0
383,8a2e2082-7444-5533-6931-1b05fd88,Ordinary - Unregistered,0.0,0.7142857142857143,0.2857142857142857,7.0,Catch-upper,2,"[0.0,0.7142857142857143,0.2857142857142857]","[-0.8838187235201369,0.8955460461085115,-0.09856392787398018]",0
384,8a68d73e-17f5-4571-ef15-e1d03878,Ordinary - Unregistered,0.0,0.2,0.8,10.0,Independant,1,"[0.0,0.2,0.8]","[-0.8838187235201369,-0.5420398796703435,1.2953957105858869]",0
385,8a6d88da-00af-01eb-e85b-db817e28,Ordinary - Unregistered,0.125,0.625,0.25,8.0,Catch-upper,2,"[0.125,0.625,0.25]","[-0.49482894918886516,0.6459651562163492,-0.19536668054480422]",0
386,8ae29d55-64a1-1cf2-962b-4a35e380,Ordinary - Unregistered,0.0,0.6,0.4,10.0,Catch-upper,2,"[0.0,0.6,0.4]","[-0.8838187235201369,0.5760825070465436,0.211204880672657]",0
387,8c7bdf99-8cda-02c4-7ccf-ad45ef8a,Ordinary - Unregistered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
388,8cedbb4b-6088-0b3c-fc04-ad8ce093,Ordinary - Unregistered,0.0,0.5555555555555556,0.4444444444444444,9.0,Catch-upper,2,"[0.0,0.5555555555555556,0.4444444444444444]","[-0.8838187235201369,0.451846686300223,0.33167052844079353]",0
