,user,cat,orderseq,orderjump,orderoutOfOrder,orderbehavior,orderClasses,prediction
531,0126c792-ca6a-61a6-a96a-42bf5fc1,Late - Unregistered,2.0,1.0,1.0,Sequential - One after the other,1,2
532,012d8099-01c6-f99f-55ef-151df7a5,Late - Unregistered,0.0,2.0,3.0,Out of order,3,2
533,01d960ae-5d88-45e9-e235-6f68599c,Late - Unregistered,10.0,1.0,0.0,Sequential - One after the other,1,1
534,0f165b85-0670-e6ac-bf14-cf00655a,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
535,14b19a02-38a5-992d-2f4f-aebd2315,Late - Unregistered,0.0,0.0,4.0,Out of order,3,2
536,25a03b67-3ce1-77fc-c715-72ba385a,Late - Unregistered,9.0,1.0,1.0,Sequential - One after the other,1,1
537,2888b741-780e-2c51-0772-617d7c33,Late - Unregistered,3.0,4.0,5.0,Sequential - Jumping forward,0,2
538,2c89fe15-af0e-a900-7384-29f556d1,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
539,2fba9116-a20d-ea5f-3980-a0c4226c,Late - Unregistered,2.0,2.0,0.0,Sequential - One after the other,1,2
540,32c9bec6-bd73-18c6-9611-148b7b0e,Late - Unregistered,7.0,0.0,0.0,Sequential - One after the other,1,0
541,3469f507-2f62-0e43-70e8-0c4bc6e3,Late - Unregistered,8.0,2.0,1.0,Sequential - One after the other,1,1
542,3db3466c-e5e5-3bc2-d72b-8fa46cd2,Late - Unregistered,9.0,0.0,0.0,Sequential - One after the other,1,1
543,427905ff-8519-fc73-90ee-17ecae10,Late - Unregistered,0.0,3.0,1.0,Sequential - Jumping forward,0,2
544,461e7201-9b62-2da4-aca6-9bc7e2aa,Late - Unregistered,5.0,0.0,0.0,Sequential - One after the other,1,0
545,4fa0f410-5265-9be6-be9d-778ee66d,Late - Unregistered,1.0,2.0,1.0,Sequential - Jumping forward,0,2
546,52656cee-d479-aed9-c14a-94a33208,Late - Unregistered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
547,54ec8d85-fcb4-2695-6332-e8c53e6e,Late - Unregistered,8.0,1.0,0.0,Sequential - One after the other,1,1
548,57fbd139-416d-e97c-42e1-e3d21786,Late - Unregistered,5.0,0.0,0.0,Sequential - One after the other,1,0
549,5a064204-6bd4-8b83-adec-4f0196a2,Late - Unregistered,4.0,0.0,0.0,Sequential - One after the other,1,0
550,5bb4be5d-066c-8d6b-ec52-55325830,Late - Unregistered,0.0,2.0,1.0,Sequential - Jumping forward,0,2
551,5de63720-f52d-3d98-8315-9cffae99,Late - Unregistered,2.0,2.0,0.0,Sequential - One after the other,1,2
552,6ba67821-cac2-1015-fa83-7a8546b6,Late - Unregistered,5.0,4.0,1.0,Sequential - Jumping forward,0,0
553,6cb1567b-ce14-1c63-5c79-2d56cd65,Late - Unregistered,7.0,1.0,0.0,Sequential - One after the other,1,0
554,76223a87-2695-2b9d-ac3d-b8a7f469,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
555,8095dea5-2414-2dd8-96a5-94762161,Late - Unregistered,1.0,1.0,2.0,Sequential - Jumping forward,0,2
556,823fb65f-7880-5b1e-2c81-c7fdda61,Late - Unregistered,4.0,0.0,0.0,Sequential - One after the other,1,0
557,889c7103-b73e-f33a-594f-f207a4cd,Late - Unregistered,8.0,2.0,0.0,Sequential - One after the other,1,1
558,8bdf5cb3-35c1-f6f1-e618-f641fcc2,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
559,921196a3-13fa-e4ce-3af8-6cbdc712,Late - Unregistered,1.0,1.0,7.0,Out of order,3,2
560,979eea52-4e76-7700-5136-517b6799,Late - Unregistered,0.0,0.0,10.0,Out of order,3,2
561,9f9f9fdf-92e7-af14-0692-647f88c2,Late - Unregistered,7.0,0.0,0.0,Sequential - One after the other,1,0
562,a3ec40af-975f-ba01-2db3-3caa97d9,Late - Unregistered,0.0,1.0,11.0,Out of order,3,2
563,a52f2bc6-a117-0f22-9ee9-126d536e,Late - Unregistered,9.0,1.0,0.0,Sequential - One after the other,1,1
564,af4c2645-6fb3-16d2-5660-862ba713,Late - Unregistered,8.0,1.0,0.0,Sequential - One after the other,1,1
565,b37edebf-8ae7-aa45-24a6-a71ab0cf,Late - Unregistered,0.0,3.0,0.0,Sequential - Jumping forward,0,2
566,b543862d-e79a-96e0-43de-2a3df236,Late - Unregistered,4.0,0.0,0.0,Sequential - One after the other,1,0
567,bd5f2e42-b664-0cc9-37b0-15736f11,Late - Unregistered,11.0,0.0,0.0,Sequential - One after the other,1,1
568,bd68cd15-7a72-7240-6a6d-11fdf386,Late - Unregistered,2.0,3.0,1.0,Sequential - Jumping forward,0,2
569,be606175-e63e-f12e-d947-27baefe1,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
570,c1d60570-2cbc-37b1-9e8a-4883bae7,Late - Unregistered,11.0,0.0,1.0,Sequential - One after the other,1,1
571,cd63ab01-8f40-afeb-0b3d-ca6de10f,Late - Unregistered,10.0,1.0,1.0,Sequential - One after the other,1,1
572,d240496b-e2cf-209d-80f4-6a24fbd7,Late - Unregistered,10.0,0.0,0.0,Sequential - One after the other,1,1
573,d48858c6-80ce-2e95-a74a-8d955a9e,Late - Unregistered,1.0,3.0,0.0,Sequential - Jumping forward,0,2
574,db0c804a-a6ad-cb9d-d037-84256d49,Late - Unregistered,0.0,0.0,3.0,Out of order,3,2
575,e84ee6a5-b0be-fe4d-cee9-c9846350,Late - Unregistered,2.0,0.0,1.0,Sequential - One after the other,1,2
576,e8f759fe-33ca-af05-511a-3b4aa7f5,Late - Unregistered,3.0,0.0,0.0,Sequential - One after the other,1,0
577,e996ed9e-cf46-2cad-2e67-5688856d,Late - Unregistered,12.0,0.0,0.0,Sequential - One after the other,1,1
578,eabfeaaa-351b-e551-fd2b-3e6d0f45,Late - Unregistered,2.0,1.0,1.0,Sequential - One after the other,1,2
579,ef41223d-f80f-838d-f944-d7c278c7,Late - Unregistered,3.0,1.0,0.0,Sequential - One after the other,1,0
580,f309c633-16b6-7dc6-6a93-65789e3f,Late - Unregistered,4.0,1.0,0.0,Sequential - One after the other,1,0
581,fb1d6ed7-6e3b-21ed-c1d0-d1456834,Late - Unregistered,4.0,0.0,0.0,Sequential - One after the other,1,0
